date,PM25
12/1/2020,129
12/2/2020,108
12/3/2020,101
12/4/2020,113
12/5/2020,118
12/6/2020,112
12/7/2020,136
12/8/2020,159
12/9/2020,160
12/10/2020,160
12/11/2020,160
12/12/2020,142
12/13/2020,133
12/14/2020,130
12/15/2020,131
12/16/2020,131
12/17/2020,135
12/18/2020,141
12/19/2020,156
12/20/2020,160
12/21/2020,163
12/22/2020,154
12/23/2020,160
12/24/2020,160
12/25/2020,149
12/26/2020,151
12/27/2020,159
11/2/2020,71
11/3/2020,79
11/4/2020,84
11/5/2020,143
11/6/2020,144
11/7/2020,143
11/8/2020,128
11/9/2020,116
11/10/2020,110
11/11/2020,101
11/12/2020,100
11/13/2020,95
11/14/2020,95
11/15/2020,103
11/16/2020,138
11/17/2020,100
11/18/2020,78
11/19/2020,84
11/20/2020,97
11/21/2020,102
11/22/2020,111
11/23/2020,123
11/24/2020,138
11/25/2020,141
11/26/2020,129
11/27/2020,165
11/28/2020,143
11/29/2020,141
11/30/2020,137
10/1/2020,78
10/2/2020,76
10/3/2020,76
10/4/2020,69
10/5/2020,68
10/6/2020,66
10/7/2020,65
10/8/2020,55
10/9/2020,53
10/10/2020,65
10/11/2020,61
10/12/2020,62
10/13/2020,67
10/14/2020,83
10/15/2020,82
10/16/2020,70
10/17/2020,67
10/18/2020,69
10/19/2020,80
10/20/2020,87
10/21/2020,102
10/22/2020,93
10/23/2020,83
10/24/2020,84
10/25/2020,74
10/26/2020,68
10/27/2020,65
10/28/2020,67
10/29/2020,60
9/1/2020,38
9/2/2020,27
9/3/2020,18
9/4/2020,24
9/5/2020,40
9/6/2020,42
9/7/2020,48
9/8/2020,39
9/9/2020,40
9/10/2020,41
9/11/2020,43
9/12/2020,38
9/13/2020,30
9/14/2020,47
9/15/2020,56
9/16/2020,57
9/17/2020,71
9/18/2020,53
9/19/2020,53
9/20/2020,53
9/21/2020,47
9/22/2020,35
9/23/2020,15
9/24/2020,17
9/25/2020,13
9/26/2020,14
9/27/2020,25
9/28/2020,36
9/29/2020,55
9/30/2020,68
